Time (Million Years),Number of Trapped Electrons
0.0,0.0
0.04000040000400004,679982093.5142858
0.08000080000800008,1359403825.6512141
0.12000120001200013,2038265658.2039447
0.16000160001600017,2716568052.5777044
0.2000020000200002,3394311469.784712
0.24000240002400025,4071496370.4719396
0.28000280002800026,4748123214.904105
0.32000320003200033,5424192462.965685
0.3600036000360004,6099704574.162182
0.4000040000400004,6774660007.620596
0.44000440004400043,7449059222.098503
0.4800048000480005,8122902675.971342
0.5200052000520006,8796190827.232525
0.5600056000560005,9468924133.497467
0.6000060000600006,10141103052.003923
0.6400064000640007,10812728039.61229
0.6800068000680006,11483799552.805946
0.7200072000720008,12154318047.691572
0.7600076000760008,12824283979.999458
0.8000080000800008,13493697805.083845
0.8400084000840009,14162559977.923243
0.8800088000880009,14830870953.120739
0.9200092000920009,15498631184.904339
0.960009600096001,16165841127.127281
1.000010000100001,16832501233.268353
1.0400104001040011,17498611956.432224
1.080010800108001,18164173749.34977
1.120011200112001,18829187064.3796
1.1600116001160012,19493652353.528484
1.2000120001200012,20157570068.421196
1.2400124001240012,20820940660.30356
1.2800128001280013,21483764580.04978
1.3200132001320015,22146042278.162834
1.3600136001360013,22807774204.774746
1.4000140001400014,23468960809.646996
1.4400144001440016,24129602542.170822
1.4800148001480014,24789699851.36756
1.5200152001520015,25449253185.88903
1.5600156001560017,26108262994.01782
1.6000160001600017,26766729723.667664
1.6400164001640016,27424653822.383785
1.6800168001680018,28082035737.34323
1.7200172001720018,28738875915.355194
1.7600176001760017,29395174802.861412
1.800018000180002,30050932845.93644
1.8400184001840019,30706150490.28552
1.880018800188002,31360828181.216263
1.920019200192002,32014966363.686005
1.960019600196002,32668565482.2941
2.000020000200002,33321625981.27366
2.040020400204002,33974148304.491776
2.0800208002080023,34626132895.44992
2.120021200212002,35277580197.284225
2.160021600216002,35928490652.765755
2.2000220002200024,36578864704.30091
2.240022400224002,37228702793.93164
2.2800228002280023,37878005363.33586
2.3200232002320025,38526772853.82767
2.3600236002360027,39175005706.35771
2.4000240002400024,39822704361.513504
2.4400244002440026,40469869259.51971
2.4800248002480023,41116500840.23848
2.5200252002520025,41762599543.16977
2.5600256002560027,42408165807.450356
2.600026000260003,43053200071.84363
2.640026400264003,43697702774.758575
2.6800268002680023,44341674354.24566
2.7200272002720025,44985115247.994385
2.7600276002760027,45628025893.3336
2.800028000280003,46270406727.231804
2.840028400284003,46912258186.297424
2.8800288002880032,47553580706.77917
2.920029200292003,48194374724.56627
2.9600296002960027,48834640675.188866
3.000030000300003,49474378993.818214
3.040030400304003,50113590115.26705
3.0800308003080032,50752274473.98987
3.1200312003120034,51390432504.083244
3.160031600316003,52028064639.2861
3.2000320003200033,52665171312.98009
3.240032400324003,53301752958.189766
3.2800328003280033,53937810007.58233
3.3200332003320034,54573342893.463776
3.3600336003360036,55208352047.78708
3.4000340003400034,55842837902.1502
3.4400344003440035,56476800887.79547
3.4800348003480037,57110241435.60986
3.5200352003520035,57743159976.12531
3.5600356003560036,58375556939.51901
3.600036000360004,59007432755.61369
3.6400364003640036,59638787853.87795
3.6800368003680037,60269622663.42654
3.720037200372004,60899937613.02063
3.760037600376004,61529733131.06815
3.800038000380004,62159009645.62409
3.840038400384004,62787767584.39075
3.8800388003880038,63416007374.71808
3.920039200392004,64043729443.60399
3.960039600396004,64670934217.694595
4.000040000400004,65297622123.27416
4.0400404004040045,65923793586.3027
4.080040800408004,66549449032.35751
4.120041200412004,67174588886.679306
4.160041600416005,67799213574.1583
4.200042000420004,68423323519.33463
4.240042400424004,69046919146.39856
4.280042800428005,69670000879.19081
4.320043200432004,70292569141.20288
4.360043600436004,70914624355.57732
4.400044000440005,71536166945.10803
4.4400444004440045,72157197332.24054
4.480044800448004,72777715939.07233
4.520045200452005,73397723187.35315
4.560045600456005,74017219498.4852
4.600046000460005,74636205293.5236
4.640046400464005,75254680993.17654
4.680046800468005,75872647017.80562
4.720047200472005,76490103787.41312
4.760047600476004,77107051721.60536
4.800048000480005,77723491239.69415
4.8400484004840045,78339422760.65341
4.880048800488005,78954846703.11185
4.920049200492005,79569763485.35324
4.960049600496005,80184173525.31674
5.000050000500005,80798077240.59717
5.040050400504005,81411475048.44522
5.080050800508006,82024367365.76791
5.120051200512005,82636754609.1287
5.160051600516005,83248637194.74792
5.200052000520006,83860015538.50302
5.2400524005240054,84470890055.92877
5.280052800528006,85081261162.21771
5.320053200532005,85691129272.22028
5.360053600536005,86300494800.44525
5.400054000540005,86909358161.05988
5.440054400544005,87517719767.89029
5.480054800548006,88125580034.42175
5.520055200552005,88732939373.7989
5.560055600556006,89339798198.82617
5.600056000560006,89946156921.96783
5.6400564005640055,90552015955.34857
5.680056800568006,91157375710.7536
5.720057200572006,91762236599.62894
5.7600576005760065,92366599033.08179
5.800058000580006,92970463421.88074
5.840058400584006,93573830176.45612
5.880058800588007,94176699706.90027
5.920059200592005,94779072422.96771
5.960059600596006,95380948734.07568
6.000060000600006,95982329049.30411
6.040060400604006,96583213777.3962
6.080060800608006,97183603326.75845
6.120061200612006,97783498105.46114
6.1600616006160065,98382898521.23854
6.200062000620006,98981804981.48912
6.240062400624007,99580217893.27597
6.280062800628007,100178137663.32698
6.320063200632006,100775564698.03519
6.360063600636007,101372499403.459
6.400064000640007,101968942185.32251
6.440064400644007,102564893449.01582
6.480064800648006,103160353599.59521
6.520065200652006,103755323041.78355
6.5600656006560065,104349802179.9705
6.600066000660006,104943791418.21277
6.640066400664007,105537291160.23453
6.680066800668007,106130301809.42749
6.720067200672007,106722823768.8514
6.760067600676007,107314857441.23413
6.800068000680007,107906403228.97212
6.840068400684007,108497461534.13055
6.880068800688007,109088032758.44363
6.920069200692008,109678117303.31493
6.960069600696007,110267715569.8176
7.000070000700006,110856827958.69469
7.040070400704007,111445454870.35945
7.080070800708007,112033596704.89551
7.120071200712007,112621253862.05728
7.160071600716007,113208426741.27011
7.200072000720008,113795115741.63069
7.240072400724007,114381321261.9072
7.280072800728007,114967043700.53967
7.320073200732008,115552283455.6403
7.3600736007360075,116137040924.99356
7.400074000740008,116721316506.05666
7.440074400744008,117305110595.95967
7.480074800748008,117888423591.50598
7.520075200752008,118471255889.17236
7.560075600756007,119053607885.1094
7.600076000760008,119635479975.1417
7.640076400764007,120216872554.76813
7.680076800768008,120797786019.16225
7.720077200772008,121378220763.17233
7.7600776007760075,121958177181.32191
7.800078000780008,122537655667.80986
7.840078400784008,123116656616.51071
7.8800788007880085,123695180420.975
7.920079200792008,124273227474.42944
7.960079600796008,124850798169.77725
8.000080000800008,125427892899.59845
8.040080400804008,126004512056.11658
8.080080800808009,126580656030.94559
8.120081200812008,127156325215.6001
8.160081600816008,127731520001.34778
8.200082000820009,128306240779.13388
8.240082400824008,128880487939.58139
8.280082800828009,129454261872.99152
8.32008320083201,130027562969.34377
8.36008360083601,130600391618.2963
8.400084000840009,131172748209.18611
8.440084400844007,131744633131.02942
8.480084800848008,132316046772.5218
8.520085200852009,132886989522.03851
8.56008560085601,133457461767.63474
8.600086000860008,134027463897.04585
8.640086400864009,134596996297.6877
8.68008680086801,135166059356.65683
8.720087200872008,135734653460.73071
8.760087600876009,136302778996.36816
8.80008800088001,136870436349.70937
8.84008840088401,137437625906.57632
8.880088800888009,138004348052.47302
8.92008920089201,138570603172.58572
8.960089600896008,139136391651.78314
9.000090000900009,139701713874.61694
9.04009040090401,140266570225.32166
9.080090800908009,140830961087.8152
9.12009120091201,141394886845.69897
9.16009160091601,141958347882.25827
9.20009200092001,142521344580.46237
9.24009240092401,143083877322.96487
9.28009280092801,143645946492.1041
9.32009320093201,144207552469.90295
9.36009360093601,144768695638.06964
9.40009400094001,145329376377.99756
9.44009440094401,145889595070.76584
9.480094800948011,146449352097.1393
9.520095200952008,147008647837.56897
9.560095600956009,147567482672.19223
9.60009600096001,148125856980.833
9.640096400964008,148683771143.00214
9.680096800968009,149241225537.89758
9.72009720097201,149798220544.4046
9.76009760097601,150354756541.09616
9.80009800098001,150910833906.23297
9.84009840098401,151466453017.76404
9.88009880098801,152021614253.32654
9.92009920099201,152576317990.24643
9.96009960099601,153130564605.53848
10.00010000100001,153684354475.9066
10.04010040100401,154237687977.74396
10.08010080100801,154790565487.13358
10.12010120101201,155342987379.8481
10.160101601016011,155894954031.3505
10.20010200102001,156446465816.7939
10.24010240102401,156997523111.0223
10.280102801028011,157548126288.57034
10.32010320103201,158098275723.66385
10.36010360103601,158647971790.22006
10.400104001040011,159197214861.84775
10.440104401044012,159746005311.84763
10.480104801048011,160294343513.21234
10.520105201052012,160842229838.62714
10.560105601056012,161389664660.4696
10.600106001060011,161936648350.8103
10.64010640106401,162483181281.41287
10.68010680106801,163029263823.73425
10.72010720107201,163574896348.92493
10.76010760107601,164120079227.8293
10.80010800108001,164664812830.98572
10.840108401084011,165209097528.6269
10.88010880108801,165752933690.68008
10.92010920109201,166296321686.76733
10.960109601096011,166839261886.20575
11.00011000110001,167381754658.0076
11.04011040110401,167923800370.8809
11.080110801108011,168465399393.2292
11.120111201112012,169006552093.15216
11.16011160111601,169547258838.44568
11.200112001120011,170087519996.60217
11.240112401124012,170627335934.8107
11.280112801128011,171166707019.95734
11.320113201132012,171705633618.6254
11.360113601136012,172244116097.10388
11.400114001140013,172782154821.58548
11.440114401144012,173319750157.8529
11.480114801148012,173856902471.29688
11.520115201152013,174393612127.0069
11.560115601156012,174929879489.77155
11.600116001160012,175465704924.07874
11.640116401164013,176001088794.1158
11.680116801168012,176536031463.77
11.720117201172012,177070533296.62854
11.760117601176013,177604594655.9789
11.800118001180014,178138215904.80908
11.84011840118401,178671397405.80786
11.880118801188011,179204139521.365
11.920119201192012,179736442613.57147
11.960119601196011,180268307044.21973
12.000120001200012,180799733174.80402
12.040120401204012,181330721366.52042
12.080120801208013,181861271980.26736
12.120121201212012,182391385376.64554
12.160121601216012,182921061915.95856
12.200122001220013,183450301958.2127
12.240122401224012,183979105863.11758
12.280122801228012,184507473990.08618
12.320123201232013,185035406698.23505
12.360123601236012,185562904346.38464
12.400124001240012,186089967293.05963
12.440124401244013,186616595896.48892
12.480124801248014,187142790514.60605
12.520125201252013,187668551505.04938
12.560125601256013,188193879225.16232
12.600126001260014,188718774031.99368
12.640126401264013,189243236282.29767
12.680126801268013,189767266332.53442
12.720127201272014,190290864538.86996
12.760127601276015,190814031257.17664
12.800128001280013,191336766843.03317
12.840128401284014,191859071651.72522
12.880128801288015,192380946038.2452
12.920129201292012,192902390357.29282
12.960129601296012,193423404963.27518
13.000130001300013,193943990210.307
13.040130401304012,194464146452.211
13.080130801308012,194983874042.51794
13.120131201312013,195503173334.46704
13.160131601316014,196022044681.00595
13.200132001320013,196540488434.7913
13.240132401324013,197058504948.18872
13.280132801328014,197576094573.27313
13.320133201332013,198093257661.82904
13.360133601336013,198609994565.35065
13.400134001340014,199126305635.04214
13.440134401344014,199642191221.81802
13.480134801348013,200157651676.30307
13.520135201352014,200672687348.83295
13.560135601356015,201187298589.45416
13.600136001360013,201701485747.92422
13.640136401364014,202215249173.71228
13.680136801368015,202728589215.9989
13.720137201372015,203241506223.6765
13.760137601376014,203754000545.34967
13.800138001380015,204266072529.33517
13.840138401384015,204777722523.66235
13.880138801388014,205288950876.07327
13.920139201392015,205799757934.02307
13.960139601396016,206310144044.67996
14.000140001400013,206820109554.92566
14.040140401404013,207329654811.35562
14.080140801408014,207838780160.27905
14.120141201412014,208347485947.71933
14.160141601416013,208855772519.41418
14.200142001420014,209363640220.81598
14.240142401424015,209871089397.09177
14.280142801428013,210378120393.12366
14.320143201432014,210884733553.5091
14.360143601436015,211390929222.56085
14.400144001440015,211896707744.30756
14.440144401444014,212402069462.4936
14.480144801448015,212907014720.57965
14.520145201452015,213411543861.7427
14.560145601456014,213915657228.87637
14.600146001460015,214419355164.59106
14.640146401464015,214922638011.21426
14.680146801468014,215425506110.79163
14.720147201472015,215927959805.36032
14.760147601476016,216429999436.63354
14.800148001480016,216931625345.83435
14.840148401484015,217432837873.90457
14.880148801488016,217933637361.50507
14.920149201492016,218434024149.01593
14.960149601496015,218933998576.53674
15.000150001500016,219433560983.8868
15.040150401504016,219932711710.60535
15.080150801508017,220431451095.95175
15.120151201512014,220929779478.9058
15.160151601516015,221427697198.16797
15.200152001520015,221925204592.1595
15.240152401524014,222422301999.0227
15.280152801528015,222918989756.62134
15.320153201532015,223415268202.5406
15.360153601536016,223911137674.08743
15.400154001540015,224406598508.29083
15.440154401544016,224901651041.90204
15.480154801548016,225396295611.39465
15.520155201552015,225890532552.96503
15.560155601556016,226384362202.5324
15.600156001560016,226877784895.7392
15.640156401564015,227370800967.95102
15.680156801568016,227863410754.25732
15.720157201572016,228355614589.47116
15.760157601576017,228847412808.12967
15.800158001580016,229338805744.49432
15.840158401584016,229829793732.551
15.880158801588017,230320377106.01035
15.920159201592016,230810556198.30786
15.960159601596017,231300331342.60437
16.000160001600015,231789702871.78592
16.040160401604016,232278671118.46426
16.080160801608017,232767236414.9769
16.120161201612017,233255399093.3875
16.160161601616018,233743159485.48596
16.200162001620015,234230517922.78867
16.240162401624016,234717474736.53876
16.280162801628016,235204030257.70633
16.320163201632017,235690184816.98865
16.360163601636017,236175938744.81036
16.400164001640018,236661292371.3238
16.44016440164402,237146246026.40906
16.480164801648016,237630800039.6743
16.520165201652016,238114954740.45602
16.560165601656017,238598710457.81924
16.600166001660018,239082067520.55762
16.64016640166402,239565026257.19388
16.68016680166802,240047586995.97983
16.72016720167202,240529750064.8967
16.760167601676017,241011515791.6553
16.800168001680017,241492884503.69638
16.840168401684018,241973856528.19064
16.880168801688015,242454432192.03903
16.920169201692016,242934611821.8731
16.960169601696016,243414395744.05505
